num,patch,mag,magerr,elongation_norm,fwhm_norm,significance_abs,residual,psffit_sigma_ratio,psffit_peak_ratio,frac_det,density,density_good,bapsf,psf,score
456,3_8,25.760352,0.332759,0.577830,1.094186,5.777300,1.020678,0.801207,0.903484,0.777778,0,0,0.966180,3.860426,0
457,3_8,26.306204,0.594073,0.552014,1.141505,4.815787,1.101532,1.054727,1.066138,0.688889,2,1,0.944238,3.909681,0
458,3_8,25.166887,0.202680,0.487620,1.355874,5.248495,1.085648,0.958645,1.310340,0.755556,1,1,0.959714,3.853119,0
459,3_8,25.552390,0.310218,0.503120,1.305301,4.842939,0.967557,0.930827,0.452974,0.800000,0,0,0.972126,3.876719,0
460,3_8,25.560966,0.339039,0.565266,0.887422,4.812377,1.388403,1.407509,0.705847,0.733333,1,1,0.956600,3.853752,0
461,3_8,26.249388,0.561302,0.942922,0.845356,5.013737,0.952891,0.835702,1.130533,0.644444,2,2,0.965288,3.865484,0
462,3_8,25.181519,0.204673,0.608676,1.467204,4.463084,1.156967,0.983126,1.165160,0.777778,0,0,0.961415,3.863540,0
463,3_8,25.239468,0.216915,0.960204,0.971892,4.815441,1.082393,0.864841,1.336665,0.777778,0,0,0.940288,3.914316,0
464,3_8,25.305923,0.233249,0.577423,1.106921,5.055698,1.056687,1.050175,0.921119,0.800000,1,1,0.959522,3.865984,0
465,3_8,26.232920,0.538854,0.735707,0.770342,4.735457,1.015500,0.956710,1.369967,0.733333,0,0,0.941089,3.913037,0
466,3_8,25.102598,0.179143,0.838871,0.950996,5.485086,0.929263,0.953634,1.431551,0.733333,0,0,0.950193,3.860198,0
467,3_8,25.512437,0.290773,0.535455,1.321014,5.467489,1.085994,0.929367,1.261412,0.733333,0,0,0.940051,3.913959,0
468,3_8,25.589723,0.334483,0.495741,0.684075,5.860316,0.862230,1.072066,1.225637,0.711111,0,0,0.865250,3.960206,1
469,3_8,25.448938,0.281822,0.584046,1.095176,4.034370,0.620498,0.867589,0.994336,0.733333,1,1,0.885163,3.994759,0
470,3_8,25.292646,0.261614,0.898698,0.878087,8.046524,0.903737,1.105841,1.022445,0.888889,0,0,0.882681,3.993533,1
471,3_8,24.684452,0.143342,0.754608,1.703660,3.610196,0.928113,0.793555,0.458424,0.844444,11,1,0.902586,3.985970,0
472,3_8,25.685045,0.381918,0.657246,0.992351,3.939403,1.040378,1.048186,1.098338,0.755556,11,1,0.902511,3.986026,0
473,3_8,26.209926,0.613150,1.052410,0.611959,5.023166,0.978037,0.883373,1.326656,0.688889,0,0,0.882299,3.991422,0
474,3_8,25.460380,0.317266,0.417819,0.842561,4.744546,0.997315,1.122767,1.701642,0.733333,1,1,0.886189,3.992073,0
475,3_8,25.147493,0.234688,0.515946,1.344285,4.443464,1.066125,0.931353,1.028490,0.800000,1,1,0.866901,3.983844,0
476,3_8,25.231594,0.249645,0.426961,0.734834,3.715073,1.388811,1.094808,2.477057,0.622222,1,0,0.899302,3.987883,0
477,3_8,25.251673,0.251812,0.639739,1.517555,5.653898,1.039326,1.117744,1.435853,0.822222,0,0,0.909223,3.970231,1
478,3_8,25.881200,0.461598,0.831995,0.785171,3.853235,1.018878,1.041610,1.512008,0.555556,0,0,0.866024,3.981164,0
